Country,Clicks,Impressions,CTR,Position
United Kingdom,2,68,2.94%,17.07
United States,0,38,0%,13.55
China,0,22,0%,4.14
India,0,9,0%,22.89
Philippines,0,5,0%,18.2
Germany,0,4,0%,4
Thailand,0,4,0%,15.25
Indonesia,0,4,0%,39
United Arab Emirates,0,3,0%,5.67
Malaysia,0,3,0%,10
Spain,0,3,0%,13.33
Cambodia,0,2,0%,2
South Korea,0,2,0%,4
Brazil,0,2,0%,4.5
Singapore,0,2,0%,6.5
South Africa,0,2,0%,8.5
Australia,0,2,0%,9
Hong Kong,0,1,0%,1
Portugal,0,1,0%,1
Taiwan,0,1,0%,1
Kenya,0,1,0%,3
Pakistan,0,1,0%,4
Guatemala,0,1,0%,6
Mexico,0,1,0%,7
Colombia,0,1,0%,8
Isle of Man,0,1,0%,9
Argentina,0,1,0%,10
Egypt,0,1,0%,10
Myanmar (Burma),0,1,0%,10
Ukraine,0,1,0%,15
Bangladesh,0,1,0%,55
