Top pages,Clicks,Impressions,CTR,Position
https://wires.org.uk/wifi-map,1,23,4.35%,16.83
https://wires.org.uk/news-item.php?slug=vodafone-drops-cheapest-social-tariff-2026,1,3,33.33%,7
https://wires.org.uk/credits,0,81,0%,4.65
https://wires.org.uk/write-to-councillor,0,10,0%,15.4
https://wires.org.uk/global-spotlight,0,10,0%,28.5
https://wires.org.uk/news-item.php?slug=70-of-people-on-benefits-have-never-heard-of-the-cheaper-broadband-they-qualify-for,0,9,0%,27.67
https://wires.org.uk/accountability,0,8,0%,18.88
https://wires.org.uk/landscape,0,7,0%,5.71
https://wires.org.uk/why-it-matters,0,7,0%,13.57
https://wires.org.uk/get-help,0,7,0%,27.43
https://wires.org.uk/resources,0,4,0%,14.5
https://wires.org.uk/beyond-broadband,0,4,0%,30.5
https://wires.org.uk/news,0,4,0%,52.25
https://wires.org.uk/,0,3,0%,4.67
https://wires.org.uk/scotland-stories,0,3,0%,36.67
https://wires.org.uk/scotland,0,2,0%,8
https://wires.org.uk/for-organisations,0,2,0%,23.5
https://wires.org.uk/digital-health,0,2,0%,36
https://wires.org.uk/join,0,1,0%,1
https://wires.org.uk/supporters,0,1,0%,4
https://wires.org.uk/privacy,0,1,0%,5
