Top queries,Clicks,Impressions,CTR,Position
"""photo-1531482615713-2afd69097998""",0,16,0%,6.19
"""photo-1522071820081-009f0129c71c"" unsplash",0,11,0%,3.91
"""photo-1531482615713-2afd69097998"" unsplash",0,10,0%,1.9
beanstalk networks,0,5,0%,41.6
https://images.unsplash.com/photo-1522071820081-009f0129c71c,0,4,0%,7.75
wifi scotland,0,3,0%,20.33
"""photo-1516321318423-f06f85e504b3"" unsplash",0,2,0%,7
government network cables,0,2,0%,19
ofcom social tariffs,0,2,0%,65
broadband news uk,0,2,0%,68.5
uk,0,1,0%,2
"""1531482615713-2afd69097998"" unsplash",0,1,0%,4
up the wires,0,1,0%,5
"""photo-1558618666-fcd25c85cd64""",0,1,0%,6
https://images.unsplash.com/photo-1516321318423-f06f85e504b3,0,1,0%,7
"""1451187580459-43490279c0fa"" unsplash",0,1,0%,8
r100 scotland postcode checker,0,1,0%,9
"""photo-1451187580459-43490279c0fa"" unsplash",0,1,0%,10
compare 2026 to 2025,0,1,0%,10
government fiber optic cables,0,1,0%,13
is full fibre available where i live ?,0,1,0%,15
write to them,0,1,0%,23
scotland wifi,0,1,0%,31
writing to a councillor,0,1,0%,33
wifi in scotland,0,1,0%,39
r100 scotland,0,1,0%,55
broadband news,0,1,0%,67
social housing wifi,0,1,0%,88
